PMID,Attribute Name,Mannual Annotation,Chatgpt Annotation
25346391,Bipolar Disorder Type 1,1,
25346391,Depressed,1,
25346391,Hypomanic,1,
25346391,Manic,1,
25346391,Alcohol dependence,1,
25346391,Any anxiety disorder,1,
25346391,Panic disorder,1,
25346391,Social phobia,1,
25346391,comorbidity,1,
25346391,Treatment,1,
25346391,interpersonal and social rhythm therapy (IPSRT),1,
25346391,specialist supportive care (SSC),1,
21586996,Male/female ,1,
21586996,Bipolar disorder type,1,
21586996,Bipolar disorder type 2 ,1,
21586996,Treatment ,1,
21586996,Medications ,1,
21586996,Psychiatric comorbidity ,1,
21586996,psychosocial precipitants ,1,
21586996,sexual dysfunction ,1,
21586996,Mortality status ,1,
21586996,Duration cycling ,1,
21586996,Age ,1,
21586996,Suicidal ideation ,1,
17176206,High n-3 Diet,1,
17176206,Low n-6 Diet,1,
17176206,Bipolar Disorder,1,
17176206,Dietary Intervention,1,
17176206,Mood Stability,1,
17176206,n-3 Polyunsaturated Fatty Acids (PUFA),1,
17176206,n-6 Polyunsaturated Fatty Acids (PUFA),1,
17176206,Eicosapentaenoic Acid (EPA),1,
17176206,Docosahexaenoic Acid (DHA),1,
17176206,Arachidonic Acid (AA),1,
17176206,Linoleic Acid (LA),1,
17176206,Prostaglandin E2 (PGE2),1,
17176206,17-Hydroxy DHA (17-HDHA),1,
17176206,Ecological Momentary Assessment (EMA),1,
17176206,Randomized Controlled Trial,1,
17176206,Mood Symptoms,1,
17176206,Variability of Mood,1,
35724496,Bipolar disorder I/II ,1,
35724496,illness,1,
35724496,disability,1,
35724496,adolescence,1,
35724496,dysfunctional personality,1,
35724496,personality disorder,1,
35724496,mental disorders,1,
35724496,N-acetylcysteine,1,
35724496,DSM-IV criteria,1,
35724496,antidepressants,1,
35724496,benzodiazepines,1,
35724496,Antipsychotic,1,
35724496,maladaptive personality traits,1,
30383333,Age,1,
30383333,Ethnicity,1,
30383333,Eduaction,1,
30383333,Bipolar I,1,
30383333,Bipolar II,1,
30383333,Manic Episode,1,
30383333,Depressive Episode,1,
30383333,Diabetes,1,
30383333,Lithium,1,
30383333,Quetiapine,1,
25310199,Age,1,
25310199,Bipolar Disorder Type 1,1,
25310199,Asberg Depression Rating Scale (MADRS),1,
25310199,depression,1,
25310199,mania,1,
25310199,Treatment,1,
25310199,naltrexone,1,
25310199,Mood stabilizers,1,
25310199,Treatment,1,
25310199,Alcohol dependence,1,
25310199,comorbidity,1,
25310199,Dosage range,1,
12479659,Male/female ,1,
12479659,Bipolar disorder type,1,
12479659,Bipolar disorder type 2 ,1,
12479659,Treatment ,1,
12479659,Medications ,1,
12479659,Psychiatric comorbidity ,1,
12479659,psychosocial precipitants ,1,
12479659,sexual dysfunction ,1,
12479659,Mortality status ,1,
12479659,Duration cycling ,1,
12479659,Age ,1,
12479659,Suicidal ideation ,1,
34218509,Bipolar I Disorder,1,
34218509,Family Functioning,1,
34218509,Mood Episodes,1,
34218509,Pharmacotherapy,1,
34218509,Multi-family Psychoeducation Group,1,
34218509,Family Therapy,1,
34218509,McMaster Clinical Rating Scale (MCRS),1,
34218509,Family Assessment Device (FAD),1,
34218509,Episode Status,1,
34218509,Manic Episode,1,
34218509,Depressive Episode,1,
15306144,Benzodiazepines,1,
15306144,Bipolar disorder,1,
15306144,quetiapine,1,
15306144,lithium,1,
15306144,mood stablizers,1,
15306144,anti depressants,1,
15306144,anti psychotics,1,
15306144,psychiatric diagnoses,1,
15306144,psychiatric comorbidity,1,
15306144,valproate,1,
15306144,carbamazepine,1,
15306144,anticonvulsants,1,
15306144,age,1,
15306144,mania,1,
15306144,psychosis,1,
15306144,anxiety,1,
15306144,married,1,
15306144,caucasian,1,
15306144,sex,1,
15306144,lamotrigine,1,
35219178,Bipolar I,1,
35219178,Bipolar II,1,
35219178,Mood Instability,1,
35219178,Manic Episodes,1,
2494152,Treatment,1,
2494152,gamma-aminobutyric acid (GABA),1,
2494152,Mania,1,
2494152,gastrointestinal upset,1,
2494152,lethargy,1,
2494152,hepatic transaminases,1,
2494152,mild alopecia,1,
28007034,Male/female ,1,
28007034,Bipolar disorder type,1,
28007034,Bipolar disorder type 2 ,1,
28007034,Treatment ,1,
28007034,Medications ,1,
28007034,Psychiatric comorbidity ,1,
28007034,psychosocial precipitants ,1,
28007034,sexual dysfunction ,1,
28007034,Mortality status ,1,
28007034,Duration cycling ,1,
28007034,Age ,1,
28007034,Suicidal ideation ,1,
37964558,Age,1,
37964558,Male,1,
37964558,Bipolar Disorder Type 1 and Type 2,1,
37964558,Treatment,1,
37964558,Depressive episodes,1,
37964558,Suicide attempts,1,
37964558,Psychiatric comorbidity,1,
37964558,Phobias and panic disorder,1,
37964558,alcohol dependence,1,
37964558,Antidepressants,1,
37964558,Benzodiazepines,1,
37964558,Antipsychotic,1,
37964558,Mood stabiliser,1,
34990968,Age,1,
34990968,Female,1,
34990968,Bipolar I,1,
34990968,Bipolar II,1,
34990968,No. of Episodes,1,
34990968,Tobacco Use,1,
34990968,Manic Episodes,1,
34990968,Hypomanic Episodes,1,
34990968,Mania,1,
34990968,Psychiatric Disease,1,
34990968,Antipsychotic,1,
34990968,Mood Stabilizer,1,
34990968,Lithium,1,
34990968,Valporate,1,
34990968,Carbamazepine,1,
34990968,Lamotrigine,1,
34990968,Aripiprazole,1,
34990968,Olanzapine,1,
34990968,Quetiapine,1,
34990968,Risperidone,1,
34990968,Ziprasidone,1,
